参数1,日期,开盘价,卖出价,最高价,最低价,收盘价
134,2022/6/20,0.00000822,0.00000867 ,0.00000834,0.00000788,0.00000811
46,2022/6/21,0.00000811,0.00000856 ,0.00001200,0.00000801,0.00001065
46,2022/6/22,0.00001065,0.00001124 ,0.00001084,0.00000927,0.00000968
48,2022/6/23,0.00000968,0.00001021 ,0.00001045,0.00000961,0.00001029
2622,2022/6/24,0.00001029,0.00001086 ,0.00001126,0.00001003,0.00001082
1695,2022/6/25,0.00001083,0.00001143 ,0.00001199,0.00001071,0.00001180
91,2022/6/26,0.00001180,0.00001245 ,0.00001214,0.00001093,0.00001098
71,2022/6/27,0.00001098,0.00001158 ,0.00001173,0.00001076,0.00001108
67,2022/6/28,0.00001107,0.00001168 ,0.00001120,0.00000985,0.00000998
23,2022/6/29,0.00000998,0.00001053 ,0.00001074,0.00000953,0.00001021
23,2022/6/30,0.00001021,0.00001077 ,0.00001050,0.00000962,0.00001035
1,2022/7/1,0.00001035,0.00001092 ,0.00001061,0.00000991,0.00001003
22,2022/7/2,0.00001003,0.00001058 ,0.00001020,0.00000987,0.00001007
22,2022/7/3,0.00001008,0.00001063 ,0.00001014,0.00000976,0.00001003
56,2022/7/4,0.00001004,0.00001059 ,0.00001057,0.00000993,0.00001047
25,2022/7/5,0.00001048,0.00001106 ,0.00001099,0.00001000,0.00001033
1,2022/7/6,0.00001033,0.00001090 ,0.00001055,0.00001016,0.00001047
3,2022/7/7,0.00001046,0.00001104 ,0.00001150,0.00001043,0.00001127
22,2022/7/8,0.00001127,0.00001189 ,0.00001160,0.00001070,0.00001119
0,2022/7/9,0.00001120,0.00001182 ,0.00001190,0.00001102,0.00001162
0,2022/7/10,0.00001162,0.00001226 ,0.00001167,0.00001093,0.00001122
1563,2022/7/11,0.00001121,0.00001183 ,0.00001122,0.00001020,0.00001031
462,2022/7/12,0.00001032,0.00001089 ,0.00001057,0.00000987,0.00000991
154,2022/7/13,0.00000991,0.00001046 ,0.00001056,0.00000977,0.00001054
2,2022/7/14,0.00001053,0.00001111 ,0.00001071,0.00001014,0.00001060
23,2022/7/15,0.00001060,0.00001118 ,0.00001119,0.00001049,0.00001083
45,2022/7/16,0.00001083,0.00001143 ,0.00001120,0.00001052,0.00001103
22,2022/7/17,0.00001103,0.00001164 ,0.00001117,0.00001068,0.00001073
45,2022/7/18,0.00001072,0.00001131 ,0.00001262,0.00001071,0.00001196
24,2022/7/19,0.00001196,0.00001262 ,0.00001249,0.00001141,0.00001217
0,2022/7/20,0.00001216,0.00001283 ,0.00001315,0.00001166,0.00001191
3,2022/7/21,0.00001192,0.00001258 ,0.00001218,0.00001146,0.00001199
1,2022/7/22,0.00001199,0.00001265 ,0.00001242,0.00001159,0.00001172
157,2022/7/23,0.00001171,0.00001235 ,0.00001209,0.00001131,0.00001160
44,2022/7/24,0.00001159,0.00001223 ,0.00001187,0.00001153,0.00001159
45,2022/7/25,0.00001159,0.00001223 ,0.00001165,0.00001067,0.00001070
46,2022/7/26,0.00001071,0.00001130 ,0.00001090,0.00001029,0.00001087
0,2022/7/27,0.00001087,0.00001147 ,0.00001157,0.00001051,0.00001151
22,2022/7/28,0.00001151,0.00001214 ,0.00001221,0.00001100,0.00001186
16,2022/7/29,0.00001186,0.00001251 ,0.00001233,0.00001143,0.00001174
55,2022/7/30,0.00001174,0.00001239 ,0.00001262,0.00001157,0.00001192
23,2022/7/31,0.00001192,0.00001258 ,0.00001230,0.00001167,0.00001170
23,2022/8/1,0.00001170,0.00001234 ,0.00001274,0.00001166,0.00001194
3,2022/8/2,0.00001193,0.00001259 ,0.00001209,0.00001145,0.00001175
23,2022/8/3,0.00001174,0.00001239 ,0.00001214,0.00001160,0.00001184
1,2022/8/4,0.00001183,0.00001248 ,0.00001200,0.00001166,0.00001184
22,2022/8/5,0.00001184,0.00001249 ,0.00001220,0.00001178,0.00001213
0,2022/8/6,0.00001214,0.00001281 ,0.00001229,0.00001193,0.00001197
0,2022/8/7,0.00001197,0.00001263 ,0.00001215,0.00001181,0.00001205
0,2022/8/8,0.00001205,0.00001271 ,0.00001270,0.00001203,0.00001232
551,2022/8/9,0.00001232,0.00001300 ,0.00001285,0.00001169,0.00001203
132,2022/8/10,0.00001203,0.00001269 ,0.00001249,0.00001174,0.00001239
22,2022/8/11,0.00001239,0.00001307 ,0.00001290,0.00001222,0.00001232
0,2022/8/12,0.00001232,0.00001300 ,0.00001270,0.00001217,0.00001268
0,2022/8/13,0.00001267,0.00001337 ,0.00001296,0.00001250,0.00001264
0,2022/8/14,0.00001264,0.00001334 ,0.00001800,0.00001260,0.00001690
22,2022/8/15,0.00001690,0.00001783 ,0.00001770,0.00001509,0.00001527
22,2022/8/16,0.00001527,0.00001611 ,0.00001659,0.00001509,0.00001581
0,2022/8/17,0.00001581,0.00001668 ,0.00001643,0.00001451,0.00001478
0,2022/8/18,0.00001479,0.00001560 ,0.00001499,0.00001321,0.00001348
0,2022/8/19,0.00001348,0.00001422 ,0.00001407,0.00001266,0.00001315
22,2022/8/20,0.00001316,0.00001388 ,0.00001386,0.00001251,0.00001288
0,2022/8/21,0.00001288,0.00001359 ,0.00001378,0.00001281,0.00001348
0,2022/8/22,0.00001348,0.00001422 ,0.00001352,0.00001275,0.00001316
0,2022/8/23,0.00001316,0.00001388 ,0.00001338,0.00001281,0.00001332
0,2022/8/24,0.00001333,0.00001406 ,0.00001357,0.00001297,0.00001306
0,2022/8/25,0.00001306,0.00001378 ,0.00001484,0.00001303,0.00001393
0,2022/8/26,0.00001393,0.00001470 ,0.00001404,0.00001230,0.00001243
0,2022/8/27,0.00001244,0.00001312 ,0.00001259,0.00001185,0.00001217
22,2022/8/28,0.00001217,0.00001284 ,0.00001246,0.00001171,0.00001181
