参数1,日期,价格1,价格5,价格2,价格3,价格4,参数2,参数3,参数4,参数5
2042687,2022年11月22日,67525.82,16649.26095,16315,15616.63,16226.94,53.33%,42.72%,1.92%,2.04%
10044998,2022年11月10日,66947.67,16798.4274,18199,15754.26,17601.15,75.02%,22.77%,0.87%,1.34%
1587062,2022年11月29日,66001.4,17103.8499,16548.71,16100,16442.53,56.02%,40.80%,1.96%,1.22%
1952921,2022年11月23日,65519.11,17120.4978,16706,16160.2,16603.11,59.65%,35.84%,1.87%,2.64%
2038022,2022年11月21日,64882.42,17174.8725,16319,15476,15781.29,49.73%,45.50%,1.90%,2.87%
7432994,2022年11月14日,64774.25,17230.0279,17190,15815.21,16619.46,84.69%,13.67%,0.67%,0.98%
1343897,2022年11月28日,64380.01,17332.35235,16487.04,15995.27,16212.91,58.62%,35.91%,2.43%,3.04%
5387541,2022年12月20日,64280.59,17343.0184,17061.27,16397.2,16895.56,40.79%,52.01%,6.17%,1.03%
1872694,2022年11月30日,64122.22,17347.27005,17249,16428.3,17163.64,76.24%,20.80%,1.67%,1.29%
1546106,2022年11月27日,63606.73,17362.77855,16600,16401,16428.78,52.17%,44.37%,1.75%,1.70%
1706723,2022年11月26日,63273.58,17430.02425,16701.99,16385,16458.57,40.01%,55.15%,1.58%,3.26%
3511609,2023年1月1日,63220.57,17451.56735,16628,16499.01,16616.75,20.83%,77.66%,0.59%,0.91%
3614440,2022年12月29日,63078.78,17457.4226,16664.41,16488.91,16633.47,32.97%,65.19%,0.71%,1.13%
2726992,2022年11月25日,62896.49,17512.52525,16666,16342.81,16522.14,36.70%,60.22%,1.08%,2.00%
2576439,2022年11月24日,62253.7,17516.28105,16812.63,16458.05,16598.95,52.59%,44.59%,1.29%,1.53%
5006815,2022年12月31日,62193.15,17520.8914,16644.09,16470,16542.4,18.52%,80.72%,0.42%,0.34%
3677873,2023年1月2日,62005.6,17531.11435,16799.23,16548.7,16672.87,24.32%,74.21%,0.64%,0.84%
3792051,2022年11月15日,61859.19,17531.6946,17134.69,16527.72,16900.57,59.19%,38.58%,1.18%,1.06%
2951598,2022年12月17日,61672.42,17546.2325,16796.82,16579.85,16776.52,49.02%,49.51%,0.85%,0.62%
5198810,2022年12月30日,61528.32,17548.31085,16677.35,16333,16607.48,19.94%,79.18%,0.47%,0.41%
2790628,2022年11月17日,61470.62,17577.99855,16751,16410.74,16692.56,64.34%,31.73%,1.34%,2.60%
3797530,2023年1月3日,61395.01,17589.7829,16778.4,16605.28,16675.18,36.92%,60.91%,0.86%,1.31%
3309288,2023年1月4日,61299.81,17592.81075,16991.87,16652.66,16850.36,33.99%,63.96%,0.94%,1.10%
1903562,2022年11月18日,61286.75,17610.6508,17011,16546.04,16700.45,63.06%,33.67%,1.87%,1.39%
1739072,2022年11月19日,60940.18,17617.89865,16822.41,16553.53,16700.68,69.00%,27.83%,1.85%,1.31%
1917942,2022年11月20日,60911.12,17619.2174,16753.33,16180,16280.23,43.38%,53.73%,1.57%,1.31%
3501289,2022年12月28日,60875.57,17624.8933,16785.19,16465.33,16547.31,29.90%,68.61%,0.71%,0.78%
4361542,2022年12月19日,60852.22,17659.645,16815.99,16256.3,16438.88,51.48%,47.23%,0.67%,0.62%
4505089,2022年12月18日,60688.23,17700.3047,16863.26,16663.07,16738.21,86.29%,12.59%,0.54%,0.58%
7866998,2022年12月24日,60575.9,17701.3386,16869.99,16776.62,16836.12,12.95%,86.01%,0.27%,0.77%
7567468,2022年11月13日,60344.86,17737.8838,16954.28,16229,16329.85,86.34%,12.55%,0.61%,0.51%
10678170,2022年12月23日,60328.81,17747.1045,16955.14,16731.13,16778.5,13.05%,86.51%,0.23%,0.21%
12949677,2022年12月22日,60058.87,17750.0374,16868.52,16559.85,16821.43,12.96%,86.58%,0.20%,0.26%
2129235,2023年1月6日,59707.52,17757.60175,17041,16679,16950.65,62.69%,34.86%,1.27%,1.19%
5114365,2022年12月26日,58960.37,17757.87605,16944.52,16791,16919.39,21.10%,77.71%,0.47%,0.71%
7274613,2022年12月25日,58617.7,17761.69515,16857.96,16721,16832.11,12.69%,85.98%,0.28%,1.06%
2679290,2022年12月8日,58413.44,17762.6552,17299,16733.49,17224.1,78.25%,19.68%,1.19%,0.88%
2440415,2023年1月5日,58057.1,17777.1298,16879.82,16753,16831.85,41.36%,56.22%,1.21%,1.21%
3030530,2022年12月4日,57776.25,17813.886,17202.84,16878.25,17105.7,28.36%,69.90%,0.95%,0.80%
20020898,2022年12月21日,57541.26,17825.43825,16925,16723,16824.67,19.58%,79.96%,0.23%,0.23%
4030945,2022年11月16日,57471.35,17830.10135,17015.92,16378.61,16662.76,45.31%,52.90%,0.96%,0.83%
3582272,2022年12月27日,57370.83,17849.95645,16972.83,16592.37,16706.36,29.84%,68.97%,0.67%,0.52%
1900927,2023年1月8日,57347.94,17875.74065,17176.99,16911,17127.83,54.00%,43.42%,1.47%,1.11%
1947430,2023年1月7日,57274.89,17882.57705,16981.91,16908,16943.57,65.24%,32.81%,1.25%,0.69%
4218119,2022年12月6日,57184.07,17899.49925,17107.01,16906.37,17088.96,75.64%,22.48%,0.80%,1.08%
2661438,2022年12月2日,57138.29,17911.79,17105.73,16787.85,17092.74,37.75%,59.71%,1.14%,1.40%
8009260,2022年11月12日,56950.56,18008.8289,17119.1,16631.39,16812.08,80.90%,17.90%,0.61%,0.59%
2724672,2022年12月12日,56891.62,18024.72775,17241.89,16871.85,17209.83,51.49%,46.71%,1.03%,0.77%
4701268,2022年12月7日,56484.26,18028.8528,17142.21,16678.83,16836.64,82.59%,16.12%,0.66%,0.63%
2087993,2022年12月3日,56243.83,18032.19715,17188.98,16858.74,16885.2,51.87%,45.20%,1.50%,1.43%
1724249,2022年12月5日,55996.91,18047.51575,17424.25,16867,16966.35,56.05%,39.91%,2.01%,2.02%
2705398,2022年12月11日,55315,18069.50195,17270.99,17071,17085.05,70.87%,27.56%,0.94%,0.62%
1962499,2023年1月9日,54949.72,18069.86065,17398.8,17104.66,17178.26,64.22%,32.22%,1.77%,1.79%
2057684,2022年12月10日,54716.47,18070.6308,17227.72,17092,17127.49,57.42%,40.22%,1.25%,1.11%
2579851,2022年12月1日,54659.01,18109.63415,17324,16855.01,16977.37,61.87%,35.88%,1.11%,1.14%
2870312,2023年1月10日,53955.67,18123.8872,17499,17146.34,17440.66,80.50%,17.74%,1.15%,0.62%
1906934,2022年12月13日,53785.22,18155.42115,18000,17080.14,17774.7,59.43%,33.85%,1.68%,5.05%
1821573,2022年12月9日,53723.72,18171.4255,17360,17058.21,17128.56,63.62%,33.27%,1.66%,1.45%
3818028,2022年12月16日,53601.05,18311.5928,17531.73,16527.32,16632.12,39.34%,59.39%,0.74%,0.53%
5117323,2023年1月11日,52666.2,18399.8752,18000,17315.6,17943.26,91.39%,7.09%,0.71%,0.82%
5475396,2022年11月11日,51756.88,18570.58475,17695,16361.6,17070.31,68.93%,28.79%,1.46%,0.82%
1858625,2022年12月14日,51471.99,18753.4901,18387.95,17660.94,17803.15,69.75%,25.47%,1.64%,3.15%
1940423,2022年12月15日,50838.82,18783.23055,17854.82,17275.51,17356.34,65.37%,31.46%,1.31%,1.86%
2821610,2023年1月12日,50819.99,18930.1393,19117.04,17892.05,18846.62,80.51%,10.46%,1.41%,7.63%
2533886,2022年9月22日,50775.48,19476.7348,19550.17,18356.39,19401.63,35.48%,61.39%,1.44%,1.69%
12885627,2022年11月9日,50701.44,19565.3759,18587.76,15588,15922.81,79.81%,18.00%,0.64%,1.54%
2531948,2022年9月7日,50588.95,19824.09355,19464.06,18510.77,19292.84,59.62%,36.80%,1.68%,1.90%
1399721,2022年9月26日,50471.19,19843.63215,19318.96,18680.72,19227.82,75.71%,20.29%,2.45%,1.55%
2662598,2023年1月13日,50441.91,19883.1841,20000,18714.12,19930.01,72.83%,20.02%,1.38%,5.77%
4158320,2022年9月21日,50399.67,19912.39705,19956,18125.98,18461.36,44.59%,52.73%,1.00%,1.68%
2464643,2022年9月25日,50053.9,19962.69945,19180.21,18629.2,18807.38,78.10%,19.62%,1.17%,1.11%
